,사고번호,사고일시,요일,도로종류,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,연령대,가해연령대
2451,2020123100100309,16,목요일,경인,경기도,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 교량,승용,0,56,상해없음,승용,1,48,경상,50.0,50.0
2452,2021010700100362,21,목요일,경인,인천광역시,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,-,맑음,단일로 - 기타,승용,1,36,상해없음,승용,0,26,경상,30.0,30.0
2453,2021010800100410,19,금요일,경인,인천광역시,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,-,맑음,단일로 - 기타,승용,0,60,상해없음,승용,1,19,경상,50.0,50.0
2454,2021011100100053,7,월요일,경인,인천광역시,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 기타,승용,0,53,상해없음,화물,0,68,경상,50.0,50.0
2455,2021011200100117,10,화요일,경인,인천광역시,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,-,맑음,단일로 - 교량,화물,0,44,상해없음,승용,1,44,경상,40.0,40.0
2456,2021011400100207,11,목요일,경인,인천광역시,경상사고,0,0,1,0,차대차 - 추돌,차로위반,-,맑음,단일로 - 기타,화물,0,79,상해없음,화물,0,65,경상,70.0,70.0
2457,2021011900100026,5,화요일,경인,인천광역시,사망사고,1,0,1,0,차대차 - 추돌,안전거리미확보,-,맑음,단일로 - 기타,화물,0,63,사망,화물,0,42,경상,60.0,60.0
2458,2021011900100450,18,화요일,경인,인천광역시,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,-,맑음,단일로 - 기타,승용,0,48,상해없음,승용,0,54,경상,40.0,40.0
2459,2021012000100176,10,수요일,경인,경기도,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,-,맑음,단일로 - 기타,승용,0,68,상해없음,승용,0,39,중상,60.0,60.0
2460,2021012000100353,15,수요일,경인,인천광역시,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,-,맑음,단일로 - 교량,승용,0,62,상해없음,승용,1,41,경상,60.0,60.0
2461,2021012200100340,17,금요일,경인,경기도,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,-,비,단일로 - 기타,승용,0,36,상해없음,승용,1,36,중상,30.0,30.0
2462,2021012300100017,1,토요일,경인,경기도,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 기타,화물,0,44,상해없음,승용,1,63,경상,40.0,40.0
2463,2021012600100035,5,화요일,경인,경기도,경상사고,0,0,2,0,차대차 - 측면충돌,차로위반,-,맑음,단일로 - 기타,승용,0,63,상해없음,승용,0,50,경상,60.0,60.0
